practice_id;account_id
2;9
2;12
2;13
1;18
4;21
2;22
2;23
2;24
2;25
2;32
2;33
5;37
2;38
2;47
2;51
2;52
2;59
2;61
2;63
2;65
2;68
4;69
2;71
2;72
2;76
2;77
2;78
1;81
1;84
2;87
5;92
2;95
2;97
2;99
2;101
2;102
5;103
1;104
1;105
2;106
1;109
2;111
2;112
2;116
4;116
1;117
1;118
4;118
1;119
2;122
2;126
2;127
2;128
2;129
2;133
1;134
2;136
2;139
2;140
2;142
1;143
4;143
4;144
2;145
4;145
4;150
2;151
2;160
2;161
2;162
5;166
5;167
3;168
3;169
3;170
2;172
2;173
2;177
2;178
1;179
2;189
2;190
2;193
2;195
2;200
2;201
2;203
1;207
1;209
2;210
2;212
2;213
4;214
2;215
2;216
2;217
4;218
1;219
2;223
4;227
4;228
2;229
2;230
1;232
1;234
4;234
2;239
2;242
1;242
1;247
2;248
1;248
2;250
1;250
2;253
2;254
1;256
2;257
2;258
1;258
2;259
1;259
2;260
1;260
4;262
2;263
2;266
1;266
2;267
2;268
2;269
2;275
2;277
4;278
5;279
4;281
5;281
2;285
2;286
2;287
2;288
2;289
2;290
2;291
4;292
2;297
4;299
2;300
4;301
1;302
2;308
2;309
2;310
2;311
2;315
2;316
4;317
2;318
2;320
5;321
2;322
2;323
2;343
2;344
2;345
2;346
2;347
2;348
2;351
2;355
4;355
4;357
4;358
4;365
1;366
2;369
2;371
2;374
2;375
2;379
5;380
5;381
4;382
2;383
2;387
2;390
2;395
2;399
2;402
2;403
4;405
2;406
2;408
2;410
2;411
1;413
2;415
2;416
2;417
2;420
2;421
1;422
4;422
2;425
2;426
2;427
2;428
1;428
2;429
2;430
2;431
4;433
2;434
4;437
2;441
2;442
2;444
4;444
4;446
2;447
2;448
2;449
2;450
4;454
2;455
2;456
2;459
2;461
2;466
1;466
2;467
2;468
4;468
2;470
1;470
2;471
2;472
1;472
2;473
1;473
2;475
1;475
5;477
2;479
5;480
1;482
2;483
4;483
2;484
4;486
2;489
2;490
2;493
2;494
2;495
2;499
2;500
2;501
2;503
4;503
2;504
2;505
2;506
4;507
2;508
2;511
2;512
1;512
2;516
2;518
2;519
2;520
1;522
2;523
2;524
1;525
2;526
1;529
2;531
2;532
2;533
2;535
1;536
2;537
2;538
1;538
1;539
1;540
2;541
2;542
4;543
2;544
2;547
2;548
2;549
2;550
2;553
4;554
2;555
5;555
2;556
2;557
2;558
2;559
2;560
4;560
2;562
2;563
2;566
2;568
2;572
4;573
2;574
2;575
2;576
2;578
2;579
2;583
2;584
1;584
2;585
4;586
2;587
1;587
2;589
4;589
4;590
3;594
5;595
5;596
5;597
1;599
5;599
1;600
4;600
3;601
5;601
2;605
4;605
2;606
2;607
3;607
1;610
4;610
2;612
2;613
2;614
2;615
2;616
2;620
4;620
2;622
2;623
2;624
1;624
2;625
2;626
2;628
2;630
4;630
2;632
1;632
2;633
4;633
5;633
2;634
5;634
2;635
5;635
2;636
5;636
2;638
4;638
2;641
5;641
4;642
4;644
5;644
2;645
4;645
2;647
4;647
2;654
4;654
2;655
4;655
5;656
2;658
2;666
5;666
1;683
4;683
2;684
2;685
2;687
1;688
4;688
2;691
3;691
5;691
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
